"","nowcast_date","week","clade","source","nseq"
"49",2025-02-12,2024-11-13,"other","California COVIDNet",9
"50",2025-02-12,2024-11-13,"other","NCBI",4
"51",2025-02-12,2024-11-13,"recombinant","California COVIDNet",16
"52",2025-02-12,2024-11-13,"recombinant","NCBI",11
"53",2025-02-12,2024-11-20,"24A","California COVIDNet",5
"54",2025-02-12,2024-11-20,"24A","NCBI",3
"55",2025-02-12,2024-11-20,"24B","California COVIDNet",3
"56",2025-02-12,2024-11-20,"24B","NCBI",1
"57",2025-02-12,2024-11-20,"24C","California COVIDNet",4
"58",2025-02-12,2024-11-20,"24C","NCBI",2
"59",2025-02-12,2024-11-20,"24D","California COVIDNet",0
"60",2025-02-12,2024-11-20,"24D","NCBI",0
"61",2025-02-12,2024-11-20,"24E","California COVIDNet",111
"62",2025-02-12,2024-11-20,"24E","NCBI",67
"63",2025-02-12,2024-11-20,"24F","California COVIDNet",51
"64",2025-02-12,2024-11-20,"24F","NCBI",39
"65",2025-02-12,2024-11-20,"24H","California COVIDNet",10
"66",2025-02-12,2024-11-20,"24H","NCBI",9
"67",2025-02-12,2024-11-20,"24I","California COVIDNet",0
"68",2025-02-12,2024-11-20,"24I","NCBI",1
"69",2025-02-12,2024-11-20,"25A","California COVIDNet",14
"70",2025-02-12,2024-11-20,"25A","NCBI",10
"71",2025-02-12,2024-11-20,"25B","California COVIDNet",0
"72",2025-02-12,2024-11-20,"25B","NCBI",0
"73",2025-02-12,2024-11-20,"25C","California COVIDNet",0
"74",2025-02-12,2024-11-20,"25C","NCBI",0
"75",2025-02-12,2024-11-20,"other","California COVIDNet",3
"76",2025-02-12,2024-11-20,"other","NCBI",2
"77",2025-02-12,2024-11-20,"recombinant","California COVIDNet",21
"78",2025-02-12,2024-11-20,"recombinant","NCBI",6
"79",2025-02-12,2024-11-27,"24A","California COVIDNet",16
"80",2025-02-12,2024-11-27,"24A","NCBI",6
"81",2025-02-12,2024-11-27,"24B","California COVIDNet",2
"82",2025-02-12,2024-11-27,"24B","NCBI",3
"83",2025-02-12,2024-11-27,"24C","California COVIDNet",4
"84",2025-02-12,2024-11-27,"24C","NCBI",4
"85",2025-02-12,2024-11-27,"24D","California COVIDNet",0
"86",2025-02-12,2024-11-27,"24D","NCBI",0
"87",2025-02-12,2024-11-27,"24E","California COVIDNet",73
"88",2025-02-12,2024-11-27,"24E","NCBI",35
"89",2025-02-12,2024-11-27,"24F","California COVIDNet",55
"90",2025-02-12,2024-11-27,"24F","NCBI",29
"91",2025-02-12,2024-11-27,"24H","California COVIDNet",4
"92",2025-02-12,2024-11-27,"24H","NCBI",1
"93",2025-02-12,2024-11-27,"24I","California COVIDNet",4
"94",2025-02-12,2024-11-27,"24I","NCBI",2
"95",2025-02-12,2024-11-27,"25A","California COVIDNet",20
"96",2025-02-12,2024-11-27,"25A","NCBI",10
"97",2025-02-12,2024-11-27,"25B","California COVIDNet",0
"98",2025-02-12,2024-11-27,"25B","NCBI",0
"99",2025-02-12,2024-11-27,"25C","California COVIDNet",0
"100",2025-02-12,2024-11-27,"25C","NCBI",0
"101",2025-02-12,2024-11-27,"other","California COVIDNet",3
"102",2025-02-12,2024-11-27,"other","NCBI",2
"103",2025-02-12,2024-11-27,"recombinant","California COVIDNet",10
"104",2025-02-12,2024-11-27,"recombinant","NCBI",6
"105",2025-02-12,2024-12-04,"24A","California COVIDNet",13
"106",2025-02-12,2024-12-04,"24A","NCBI",6
"107",2025-02-12,2024-12-04,"24B","California COVIDNet",0
"108",2025-02-12,2024-12-04,"24B","NCBI",2
"109",2025-02-12,2024-12-04,"24C","California COVIDNet",3
"110",2025-02-12,2024-12-04,"24C","NCBI",2
"111",2025-02-12,2024-12-04,"24D","California COVIDNet",0
"112",2025-02-12,2024-12-04,"24D","NCBI",0
"113",2025-02-12,2024-12-04,"24E","California COVIDNet",90
"114",2025-02-12,2024-12-04,"24E","NCBI",53
"115",2025-02-12,2024-12-04,"24F","California COVIDNet",68
"116",2025-02-12,2024-12-04,"24F","NCBI",36
"117",2025-02-12,2024-12-04,"24H","California COVIDNet",9
"118",2025-02-12,2024-12-04,"24H","NCBI",7
"119",2025-02-12,2024-12-04,"24I","California COVIDNet",2
"120",2025-02-12,2024-12-04,"24I","NCBI",1
"121",2025-02-12,2024-12-04,"25A","California COVIDNet",21
"122",2025-02-12,2024-12-04,"25A","NCBI",14
"123",2025-02-12,2024-12-04,"25B","California COVIDNet",0
"124",2025-02-12,2024-12-04,"25B","NCBI",0
"125",2025-02-12,2024-12-04,"25C","California COVIDNet",0
"126",2025-02-12,2024-12-04,"25C","NCBI",0
"127",2025-02-12,2024-12-04,"other","California COVIDNet",0
"128",2025-02-12,2024-12-04,"other","NCBI",0
"129",2025-02-12,2024-12-04,"recombinant","California COVIDNet",9
"130",2025-02-12,2024-12-04,"recombinant","NCBI",8
"131",2025-02-12,2024-12-11,"24A","California COVIDNet",6
"132",2025-02-12,2024-12-11,"24A","NCBI",2
"133",2025-02-12,2024-12-11,"24B","California COVIDNet",4
"134",2025-02-12,2024-12-11,"24B","NCBI",1
"135",2025-02-12,2024-12-11,"24C","California COVIDNet",3
"136",2025-02-12,2024-12-11,"24C","NCBI",1
"137",2025-02-12,2024-12-11,"24D","California COVIDNet",0
"138",2025-02-12,2024-12-11,"24D","NCBI",0
"139",2025-02-12,2024-12-11,"24E","California COVIDNet",87
"140",2025-02-12,2024-12-11,"24E","NCBI",42
"141",2025-02-12,2024-12-11,"24F","California COVIDNet",75
"142",2025-02-12,2024-12-11,"24F","NCBI",43
"143",2025-02-12,2024-12-11,"24H","California COVIDNet",5
"144",2025-02-12,2024-12-11,"24H","NCBI",1
"145",2025-02-12,2024-12-11,"24I","California COVIDNet",1
"146",2025-02-12,2024-12-11,"24I","NCBI",1
"147",2025-02-12,2024-12-11,"25A","California COVIDNet",27
"148",2025-02-12,2024-12-11,"25A","NCBI",11
"149",2025-02-12,2024-12-11,"25B","California COVIDNet",0
"150",2025-02-12,2024-12-11,"25B","NCBI",0
"151",2025-02-12,2024-12-11,"25C","California COVIDNet",0
"152",2025-02-12,2024-12-11,"25C","NCBI",0
"153",2025-02-12,2024-12-11,"other","California COVIDNet",1
"154",2025-02-12,2024-12-11,"other","NCBI",1
"155",2025-02-12,2024-12-11,"recombinant","California COVIDNet",5
"156",2025-02-12,2024-12-11,"recombinant","NCBI",3
"157",2025-02-12,2024-12-18,"24A","California COVIDNet",4
"158",2025-02-12,2024-12-18,"24A","NCBI",1
"159",2025-02-12,2024-12-18,"24B","California COVIDNet",3
"160",2025-02-12,2024-12-18,"24B","NCBI",2
"161",2025-02-12,2024-12-18,"24C","California COVIDNet",8
"162",2025-02-12,2024-12-18,"24C","NCBI",1
"163",2025-02-12,2024-12-18,"24D","California COVIDNet",0
"164",2025-02-12,2024-12-18,"24D","NCBI",0
"165",2025-02-12,2024-12-18,"24E","California COVIDNet",79
"166",2025-02-12,2024-12-18,"24E","NCBI",23
"167",2025-02-12,2024-12-18,"24F","California COVIDNet",87
"168",2025-02-12,2024-12-18,"24F","NCBI",27
"169",2025-02-12,2024-12-18,"24H","California COVIDNet",8
"170",2025-02-12,2024-12-18,"24H","NCBI",2
"171",2025-02-12,2024-12-18,"24I","California COVIDNet",1
"172",2025-02-12,2024-12-18,"24I","NCBI",2
"173",2025-02-12,2024-12-18,"25A","California COVIDNet",17
"174",2025-02-12,2024-12-18,"25A","NCBI",12
"175",2025-02-12,2024-12-18,"25B","California COVIDNet",0
"176",2025-02-12,2024-12-18,"25B","NCBI",0
"177",2025-02-12,2024-12-18,"25C","California COVIDNet",0
"178",2025-02-12,2024-12-18,"25C","NCBI",0
"179",2025-02-12,2024-12-18,"other","California COVIDNet",3
"180",2025-02-12,2024-12-18,"other","NCBI",1
"181",2025-02-12,2024-12-18,"recombinant","California COVIDNet",12
"182",2025-02-12,2024-12-18,"recombinant","NCBI",6
"183",2025-02-12,2024-12-25,"24A","California COVIDNet",3
"184",2025-02-12,2024-12-25,"24A","NCBI",0
"185",2025-02-12,2024-12-25,"24B","California COVIDNet",1
"186",2025-02-12,2024-12-25,"24B","NCBI",0
"187",2025-02-12,2024-12-25,"24C","California COVIDNet",4
"188",2025-02-12,2024-12-25,"24C","NCBI",2
"189",2025-02-12,2024-12-25,"24D","California COVIDNet",0
"190",2025-02-12,2024-12-25,"24D","NCBI",0
"191",2025-02-12,2024-12-25,"24E","California COVIDNet",50
"192",2025-02-12,2024-12-25,"24E","NCBI",12
"193",2025-02-12,2024-12-25,"24F","California COVIDNet",56
"194",2025-02-12,2024-12-25,"24F","NCBI",8
"195",2025-02-12,2024-12-25,"24H","California COVIDNet",3
"196",2025-02-12,2024-12-25,"24H","NCBI",1
"197",2025-02-12,2024-12-25,"24I","California COVIDNet",0
"198",2025-02-12,2024-12-25,"24I","NCBI",0
"199",2025-02-12,2024-12-25,"25A","California COVIDNet",19
"200",2025-02-12,2024-12-25,"25A","NCBI",1
"201",2025-02-12,2024-12-25,"25B","California COVIDNet",0
"202",2025-02-12,2024-12-25,"25B","NCBI",0
"203",2025-02-12,2024-12-25,"25C","California COVIDNet",0
"204",2025-02-12,2024-12-25,"25C","NCBI",0
"205",2025-02-12,2024-12-25,"other","California COVIDNet",0
"206",2025-02-12,2024-12-25,"other","NCBI",6
"207",2025-02-12,2024-12-25,"recombinant","California COVIDNet",2
"208",2025-02-12,2024-12-25,"recombinant","NCBI",0
"209",2025-02-12,2025-01-01,"24A","California COVIDNet",4
"210",2025-02-12,2025-01-01,"24A","NCBI",0
"211",2025-02-12,2025-01-01,"24B","California COVIDNet",3
"212",2025-02-12,2025-01-01,"24B","NCBI",0
"213",2025-02-12,2025-01-01,"24C","California COVIDNet",4
"214",2025-02-12,2025-01-01,"24C","NCBI",0
"215",2025-02-12,2025-01-01,"24D","California COVIDNet",0
"216",2025-02-12,2025-01-01,"24D","NCBI",0
"217",2025-02-12,2025-01-01,"24E","California COVIDNet",53
"218",2025-02-12,2025-01-01,"24E","NCBI",10
"219",2025-02-12,2025-01-01,"24F","California COVIDNet",47
"220",2025-02-12,2025-01-01,"24F","NCBI",16
"221",2025-02-12,2025-01-01,"24H","California COVIDNet",8
"222",2025-02-12,2025-01-01,"24H","NCBI",0
"223",2025-02-12,2025-01-01,"24I","California COVIDNet",1
"224",2025-02-12,2025-01-01,"24I","NCBI",0
"225",2025-02-12,2025-01-01,"25A","California COVIDNet",16
"226",2025-02-12,2025-01-01,"25A","NCBI",3
"227",2025-02-12,2025-01-01,"25B","California COVIDNet",0
"228",2025-02-12,2025-01-01,"25B","NCBI",0
"229",2025-02-12,2025-01-01,"25C","California COVIDNet",0
"230",2025-02-12,2025-01-01,"25C","NCBI",0
"231",2025-02-12,2025-01-01,"other","California COVIDNet",2
"232",2025-02-12,2025-01-01,"other","NCBI",1
"233",2025-02-12,2025-01-01,"recombinant","California COVIDNet",6
"234",2025-02-12,2025-01-01,"recombinant","NCBI",2
"235",2025-02-12,2025-01-08,"24A","California COVIDNet",2
"236",2025-02-12,2025-01-08,"24A","NCBI",0
"237",2025-02-12,2025-01-08,"24B","California COVIDNet",1
"238",2025-02-12,2025-01-08,"24B","NCBI",0
"239",2025-02-12,2025-01-08,"24C","California COVIDNet",1
"240",2025-02-12,2025-01-08,"24C","NCBI",0
"241",2025-02-12,2025-01-08,"24D","California COVIDNet",0
"242",2025-02-12,2025-01-08,"24D","NCBI",0
"243",2025-02-12,2025-01-08,"24E","California COVIDNet",29
"244",2025-02-12,2025-01-08,"24E","NCBI",2
"245",2025-02-12,2025-01-08,"24F","California COVIDNet",19
"246",2025-02-12,2025-01-08,"24F","NCBI",10
"247",2025-02-12,2025-01-08,"24H","California COVIDNet",8
"248",2025-02-12,2025-01-08,"24H","NCBI",0
"249",2025-02-12,2025-01-08,"24I","California COVIDNet",1
"250",2025-02-12,2025-01-08,"24I","NCBI",0
"251",2025-02-12,2025-01-08,"25A","California COVIDNet",3
"252",2025-02-12,2025-01-08,"25A","NCBI",2
"253",2025-02-12,2025-01-08,"25B","California COVIDNet",0
"254",2025-02-12,2025-01-08,"25B","NCBI",0
"255",2025-02-12,2025-01-08,"25C","California COVIDNet",0
"256",2025-02-12,2025-01-08,"25C","NCBI",0
"257",2025-02-12,2025-01-08,"other","California COVIDNet",0
"258",2025-02-12,2025-01-08,"other","NCBI",2
"259",2025-02-12,2025-01-08,"recombinant","California COVIDNet",4
"260",2025-02-12,2025-01-08,"recombinant","NCBI",1
"261",2025-02-12,2025-01-15,"24A","California COVIDNet",1
"262",2025-02-12,2025-01-15,"24A","NCBI",0
"263",2025-02-12,2025-01-15,"24B","California COVIDNet",0
"264",2025-02-12,2025-01-15,"24B","NCBI",0
"265",2025-02-12,2025-01-15,"24C","California COVIDNet",0
"266",2025-02-12,2025-01-15,"24C","NCBI",0
"267",2025-02-12,2025-01-15,"24D","California COVIDNet",0
"268",2025-02-12,2025-01-15,"24D","NCBI",0
"269",2025-02-12,2025-01-15,"24E","California COVIDNet",2
"270",2025-02-12,2025-01-15,"24E","NCBI",0
"271",2025-02-12,2025-01-15,"24F","California COVIDNet",5
"272",2025-02-12,2025-01-15,"24F","NCBI",0
"273",2025-02-12,2025-01-15,"24H","California COVIDNet",0
"274",2025-02-12,2025-01-15,"24H","NCBI",0
"275",2025-02-12,2025-01-15,"24I","California COVIDNet",0
"276",2025-02-12,2025-01-15,"24I","NCBI",0
"277",2025-02-12,2025-01-15,"25A","California COVIDNet",1
"278",2025-02-12,2025-01-15,"25A","NCBI",0
"279",2025-02-12,2025-01-15,"25B","California COVIDNet",0
"280",2025-02-12,2025-01-15,"25B","NCBI",0
"281",2025-02-12,2025-01-15,"25C","California COVIDNet",0
"282",2025-02-12,2025-01-15,"25C","NCBI",0
"283",2025-02-12,2025-01-15,"other","California COVIDNet",0
"284",2025-02-12,2025-01-15,"other","NCBI",0
"285",2025-02-12,2025-01-15,"recombinant","California COVIDNet",1
"286",2025-02-12,2025-01-15,"recombinant","NCBI",0
"287",2025-02-12,2025-01-22,"24A","California COVIDNet",0
"288",2025-02-12,2025-01-22,"24A","NCBI",0
"289",2025-02-12,2025-01-22,"24B","California COVIDNet",0
"290",2025-02-12,2025-01-22,"24B","NCBI",0
"291",2025-02-12,2025-01-22,"24C","California COVIDNet",0
"292",2025-02-12,2025-01-22,"24C","NCBI",2
"293",2025-02-12,2025-01-22,"24D","California COVIDNet",0
"294",2025-02-12,2025-01-22,"24D","NCBI",0
"295",2025-02-12,2025-01-22,"24E","California COVIDNet",0
"296",2025-02-12,2025-01-22,"24E","NCBI",0
"297",2025-02-12,2025-01-22,"24F","California COVIDNet",0
"298",2025-02-12,2025-01-22,"24F","NCBI",0
"299",2025-02-12,2025-01-22,"24H","California COVIDNet",0
"300",2025-02-12,2025-01-22,"24H","NCBI",0
"301",2025-02-12,2025-01-22,"24I","California COVIDNet",0
"302",2025-02-12,2025-01-22,"24I","NCBI",0
"303",2025-02-12,2025-01-22,"25A","California COVIDNet",0
"304",2025-02-12,2025-01-22,"25A","NCBI",0
"305",2025-02-12,2025-01-22,"25B","California COVIDNet",0
"306",2025-02-12,2025-01-22,"25B","NCBI",0
"307",2025-02-12,2025-01-22,"25C","California COVIDNet",0
"308",2025-02-12,2025-01-22,"25C","NCBI",0
"309",2025-02-12,2025-01-22,"other","California COVIDNet",0
"310",2025-02-12,2025-01-22,"other","NCBI",0
"311",2025-02-12,2025-01-22,"recombinant","California COVIDNet",0
"312",2025-02-12,2025-01-22,"recombinant","NCBI",0
"313",2025-02-12,2025-01-29,"24A","California COVIDNet",0
"314",2025-02-12,2025-01-29,"24A","NCBI",0
"315",2025-02-12,2025-01-29,"24B","California COVIDNet",0
"316",2025-02-12,2025-01-29,"24B","NCBI",0
"317",2025-02-12,2025-01-29,"24C","California COVIDNet",0
"318",2025-02-12,2025-01-29,"24C","NCBI",0
"319",2025-02-12,2025-01-29,"24D","California COVIDNet",0
"320",2025-02-12,2025-01-29,"24D","NCBI",0
"321",2025-02-12,2025-01-29,"24E","California COVIDNet",0
"322",2025-02-12,2025-01-29,"24E","NCBI",0
"323",2025-02-12,2025-01-29,"24F","California COVIDNet",0
"324",2025-02-12,2025-01-29,"24F","NCBI",0
"325",2025-02-12,2025-01-29,"24H","California COVIDNet",0
"326",2025-02-12,2025-01-29,"24H","NCBI",0
"327",2025-02-12,2025-01-29,"24I","California COVIDNet",0
"328",2025-02-12,2025-01-29,"24I","NCBI",0
"329",2025-02-12,2025-01-29,"25A","California COVIDNet",0
"330",2025-02-12,2025-01-29,"25A","NCBI",0
"331",2025-02-12,2025-01-29,"25B","California COVIDNet",0
"332",2025-02-12,2025-01-29,"25B","NCBI",0
"333",2025-02-12,2025-01-29,"25C","California COVIDNet",0
"334",2025-02-12,2025-01-29,"25C","NCBI",0
"335",2025-02-12,2025-01-29,"other","California COVIDNet",0
"336",2025-02-12,2025-01-29,"other","NCBI",0
"337",2025-02-12,2025-01-29,"recombinant","California COVIDNet",0
"338",2025-02-12,2025-01-29,"recombinant","NCBI",0
"339",2025-02-12,2025-02-05,"24A","California COVIDNet",0
"340",2025-02-12,2025-02-05,"24A","NCBI",0
"341",2025-02-12,2025-02-05,"24B","California COVIDNet",0
"342",2025-02-12,2025-02-05,"24B","NCBI",0
"343",2025-02-12,2025-02-05,"24C","California COVIDNet",0
"344",2025-02-12,2025-02-05,"24C","NCBI",0
"345",2025-02-12,2025-02-05,"24D","California COVIDNet",0
"346",2025-02-12,2025-02-05,"24D","NCBI",0
"347",2025-02-12,2025-02-05,"24E","California COVIDNet",0
"348",2025-02-12,2025-02-05,"24E","NCBI",0
"349",2025-02-12,2025-02-05,"24F","California COVIDNet",0
"350",2025-02-12,2025-02-05,"24F","NCBI",0
"351",2025-02-12,2025-02-05,"24H","California COVIDNet",0
"352",2025-02-12,2025-02-05,"24H","NCBI",0
"353",2025-02-12,2025-02-05,"24I","California COVIDNet",0
"354",2025-02-12,2025-02-05,"24I","NCBI",0
"355",2025-02-12,2025-02-05,"25A","California COVIDNet",0
"356",2025-02-12,2025-02-05,"25A","NCBI",0
"357",2025-02-12,2025-02-05,"25B","California COVIDNet",0
"358",2025-02-12,2025-02-05,"25B","NCBI",0
"359",2025-02-12,2025-02-05,"25C","California COVIDNet",0
"360",2025-02-12,2025-02-05,"25C","NCBI",0
"361",2025-02-12,2025-02-05,"other","California COVIDNet",0
"362",2025-02-12,2025-02-05,"other","NCBI",0
"363",2025-02-12,2025-02-05,"recombinant","California COVIDNet",0
"364",2025-02-12,2025-02-05,"recombinant","NCBI",0
"365",2025-02-12,2025-02-12,"24A","California COVIDNet",0
"366",2025-02-12,2025-02-12,"24A","NCBI",0
"367",2025-02-12,2025-02-12,"24B","California COVIDNet",0
"368",2025-02-12,2025-02-12,"24B","NCBI",0
"369",2025-02-12,2025-02-12,"24C","California COVIDNet",0
"370",2025-02-12,2025-02-12,"24C","NCBI",0
"371",2025-02-12,2025-02-12,"24D","California COVIDNet",0
"372",2025-02-12,2025-02-12,"24D","NCBI",0
"373",2025-02-12,2025-02-12,"24E","California COVIDNet",0
"374",2025-02-12,2025-02-12,"24E","NCBI",0
"375",2025-02-12,2025-02-12,"24F","California COVIDNet",0
"376",2025-02-12,2025-02-12,"24F","NCBI",0
"377",2025-02-12,2025-02-12,"24H","California COVIDNet",0
"378",2025-02-12,2025-02-12,"24H","NCBI",0
"379",2025-02-12,2025-02-12,"24I","California COVIDNet",0
"380",2025-02-12,2025-02-12,"24I","NCBI",0
"381",2025-02-12,2025-02-12,"25A","California COVIDNet",0
"382",2025-02-12,2025-02-12,"25A","NCBI",0
"383",2025-02-12,2025-02-12,"25B","California COVIDNet",0
"384",2025-02-12,2025-02-12,"25B","NCBI",0
"385",2025-02-12,2025-02-12,"25C","California COVIDNet",0
"386",2025-02-12,2025-02-12,"25C","NCBI",0
"387",2025-02-12,2025-02-12,"other","California COVIDNet",0
"388",2025-02-12,2025-02-12,"other","NCBI",0
"389",2025-02-12,2025-02-12,"recombinant","California COVIDNet",0
"390",2025-02-12,2025-02-12,"recombinant","NCBI",0
"391",2025-02-12,2025-02-19,"24A","California COVIDNet",0
"392",2025-02-12,2025-02-19,"24A","NCBI",0
"393",2025-02-12,2025-02-19,"24B","California COVIDNet",0
"394",2025-02-12,2025-02-19,"24B","NCBI",0
"395",2025-02-12,2025-02-19,"24C","California COVIDNet",0
"396",2025-02-12,2025-02-19,"24C","NCBI",0
"397",2025-02-12,2025-02-19,"24D","California COVIDNet",0
"398",2025-02-12,2025-02-19,"24D","NCBI",0
"399",2025-02-12,2025-02-19,"24E","California COVIDNet",0
"400",2025-02-12,2025-02-19,"24E","NCBI",0
"401",2025-02-12,2025-02-19,"24F","California COVIDNet",0
"402",2025-02-12,2025-02-19,"24F","NCBI",0
"403",2025-02-12,2025-02-19,"24H","California COVIDNet",0
"404",2025-02-12,2025-02-19,"24H","NCBI",0
"405",2025-02-12,2025-02-19,"24I","California COVIDNet",0
"406",2025-02-12,2025-02-19,"24I","NCBI",0
"407",2025-02-12,2025-02-19,"25A","California COVIDNet",0
"408",2025-02-12,2025-02-19,"25A","NCBI",0
"409",2025-02-12,2025-02-19,"25B","California COVIDNet",0
"410",2025-02-12,2025-02-19,"25B","NCBI",0
"411",2025-02-12,2025-02-19,"25C","California COVIDNet",0
"412",2025-02-12,2025-02-19,"25C","NCBI",0
"413",2025-02-12,2025-02-19,"other","California COVIDNet",0
"414",2025-02-12,2025-02-19,"other","NCBI",0
"415",2025-02-12,2025-02-19,"recombinant","California COVIDNet",0
"416",2025-02-12,2025-02-19,"recombinant","NCBI",0
"417",2025-02-12,2025-02-26,"24A","California COVIDNet",0
"418",2025-02-12,2025-02-26,"24A","NCBI",0
"419",2025-02-12,2025-02-26,"24B","California COVIDNet",0
"420",2025-02-12,2025-02-26,"24B","NCBI",0
"421",2025-02-12,2025-02-26,"24C","California COVIDNet",0
"422",2025-02-12,2025-02-26,"24C","NCBI",0
"423",2025-02-12,2025-02-26,"24D","California COVIDNet",0
"424",2025-02-12,2025-02-26,"24D","NCBI",0
"425",2025-02-12,2025-02-26,"24E","California COVIDNet",0
"426",2025-02-12,2025-02-26,"24E","NCBI",0
"427",2025-02-12,2025-02-26,"24F","California COVIDNet",0
"428",2025-02-12,2025-02-26,"24F","NCBI",0
"429",2025-02-12,2025-02-26,"24H","California COVIDNet",0
"430",2025-02-12,2025-02-26,"24H","NCBI",0
"431",2025-02-12,2025-02-26,"24I","California COVIDNet",0
"432",2025-02-12,2025-02-26,"24I","NCBI",0
"433",2025-02-12,2025-02-26,"25A","California COVIDNet",0
"434",2025-02-12,2025-02-26,"25A","NCBI",0
"435",2025-02-12,2025-02-26,"25B","California COVIDNet",0
"436",2025-02-12,2025-02-26,"25B","NCBI",0
"437",2025-02-12,2025-02-26,"25C","California COVIDNet",0
"438",2025-02-12,2025-02-26,"25C","NCBI",0
"439",2025-02-12,2025-02-26,"other","California COVIDNet",0
"440",2025-02-12,2025-02-26,"other","NCBI",0
"441",2025-02-12,2025-02-26,"recombinant","California COVIDNet",0
"442",2025-02-12,2025-02-26,"recombinant","NCBI",0
"443",2025-02-12,2025-03-05,"24A","California COVIDNet",0
"444",2025-02-12,2025-03-05,"24A","NCBI",0
"445",2025-02-12,2025-03-05,"24B","California COVIDNet",0
"446",2025-02-12,2025-03-05,"24B","NCBI",0
"447",2025-02-12,2025-03-05,"24C","California COVIDNet",0
"448",2025-02-12,2025-03-05,"24C","NCBI",0
"449",2025-02-12,2025-03-05,"24D","California COVIDNet",0
"450",2025-02-12,2025-03-05,"24D","NCBI",0
"451",2025-02-12,2025-03-05,"24E","California COVIDNet",0
"452",2025-02-12,2025-03-05,"24E","NCBI",0
"453",2025-02-12,2025-03-05,"24F","California COVIDNet",0
"454",2025-02-12,2025-03-05,"24F","NCBI",0
"455",2025-02-12,2025-03-05,"24H","California COVIDNet",0
"456",2025-02-12,2025-03-05,"24H","NCBI",0
"457",2025-02-12,2025-03-05,"24I","California COVIDNet",0
"458",2025-02-12,2025-03-05,"24I","NCBI",0
"459",2025-02-12,2025-03-05,"25A","California COVIDNet",0
"460",2025-02-12,2025-03-05,"25A","NCBI",0
"461",2025-02-12,2025-03-05,"25B","California COVIDNet",0
"462",2025-02-12,2025-03-05,"25B","NCBI",0
"463",2025-02-12,2025-03-05,"25C","California COVIDNet",0
"464",2025-02-12,2025-03-05,"25C","NCBI",0
"465",2025-02-12,2025-03-05,"other","California COVIDNet",0
"466",2025-02-12,2025-03-05,"other","NCBI",0
"467",2025-02-12,2025-03-05,"recombinant","California COVIDNet",0
"468",2025-02-12,2025-03-05,"recombinant","NCBI",0
"469",2025-02-12,2025-03-12,"24A","California COVIDNet",0
"470",2025-02-12,2025-03-12,"24A","NCBI",0
"471",2025-02-12,2025-03-12,"24B","California COVIDNet",0
